建平县,211322
建平,211322
喀喇沁左翼蒙古族自治县,211324
喀喇沁左翼自治县,211324
喀喇沁左翼,211324
喀喇沁左翼县,211324
北票市,211381
北票,211381
凌源市,211382
凌源,211382
连山区,211402
连山,211402
龙港区,211403
龙港,211403
南票区,211404
南票,211404
绥中县,211421
绥中,211421
建昌县,211422
建昌,211422
兴城市,211481
兴城,211481
南关区,220102
南关,220102
宽城区,220103
宽城,220103
朝阳区,220104
朝阳,220104
二道区,220105
二道,220105
绿园区,220106
绿园,220106
双阳区,220112
双阳,220112
九台区,220113
九台,220113
农安县,220122
农安,220122
榆树市,220182
榆树,220182
德惠市,220183
德惠,220183
昌邑区,220202
昌邑,220202
龙潭区,220203
龙潭,220203
船营区,220204
船营,220204
丰满区,220211
丰满,220211
永吉县,220221
永吉,220221
蛟河市,220281
蛟河,220281
桦甸市,220282
桦甸,220282
舒兰市,220283
舒兰,220283
磐石市,220284
磐石,220284
铁西区,220302
铁西,220302
铁东区,220303
铁东,220303
梨树县,220322
梨树,220322
伊通满族自治县,220323
伊通自治县,220323
伊通,220323
伊通县,220323
公主岭市,220381
公主岭,220381
双辽市,220382
双辽,220382
龙山区,220402
龙山,220402
西安区,220403
西安,220403
东丰县,220421
东丰,220421
东辽县,220422
东辽,220422
东昌区,220502
东昌,220502
二道江区,220503
二道江,220503
通化县,220521
通化,220521
辉南县,220523
辉南,220523
柳河县,220524
柳河,220524
梅河口市,220581
梅河口,220581
集安市,220582
集安,220582
浑江区,220602
浑江,220602
江源区,220605
江源,220605
抚松县,220621
抚松,220621
靖宇县,220622
靖宇,220622
长白朝鲜族自治县,220623
长白自治县,220623
长白,220623
长白县,220623
临江市,220681
临江,220681
宁江区,220702
宁江,220702
前郭尔罗斯蒙古族自治县,220721
前郭尔罗斯自治县,220721
前郭尔罗斯,220721
前郭尔罗斯县,220721
长岭县,220722
长岭,220722
乾安县,220723
乾安,220723
扶余市,220781
扶余,220781
洮北区,220802
洮北,220802
镇赉县,220821
镇赉,220821
通榆县,220822
通榆,220822
洮南市,220881
洮南,220881
大安市,220882
大安,220882
延吉市,222401
延吉,222401
图们市,222402
图们,222402
敦化市,222403
敦化,222403
珲春市,222404
珲春,222404
龙井市,222405
龙井,222405
和龙市,222406
和龙,222406
汪清县,222424
汪清,222424
安图县,222426
安图,222426
道里区,230102
道里,230102
南岗区,230103
南岗,230103
道外区,230104
道外,230104
平房区,230108
平房,230108
松北区,230109
松北,230109
香坊区,230110
香坊,230110
呼兰区,230111
呼兰,230111
阿城区,230112
阿城,230112
双城区,230113
双城,230113
依兰县,230123
依兰,230123
方正县,230124
方正,230124
宾县,230125
巴彦县,230126
巴彦,230126
木兰县,230127
木兰,230127
通河县,230128
通河,230128
延寿县,230129
延寿,230129
尚志市,230183
尚志,230183
五常市,230184
五常,230184
龙沙区,230202
龙沙,230202
建华区,230203
建华,230203
铁锋区,230204
铁锋,230204
昂昂溪区,230205
昂昂溪,230205
富拉尔基区,230206
富拉尔基,230206
碾子山区,230207
碾子山,230207
梅里斯达斡尔族区,230208
梅里斯区,230208
梅里斯,230208
龙江县,230221
龙江,230221
依安县,230223
依安,230223
泰来县,230224
泰来,230224
甘南县,230225
甘南,230225
富裕县,230227
富裕,230227
克山县,230229
克山,230229
克东县,230230
克东,230230
拜泉县,230231
拜泉,230231
讷河市,230281
讷河,230281
